Ticker,Episode,Initial Total Value,Final Total Value,Cumulative Reward,PnL% Change,Total Units Traded
MSFT,Base Episode,10000000.0,10236146.0,1031.92,2.36,436.0
MSFT,DQN Episode Average,10000000.0,10356828.89,1287.26,3.57,377.3
NVDA,Base Episode,10000000.0,12059314.11,961.41,20.59,444.0
NVDA,DQN Episode Average,10000000.0,13381670.81,1273.13,33.82,398.22
F,Base Episode,10000000.0,10691739.21,1182.49,6.92,335.0
F,DQN Episode Average,10000000.0,12220967.77,1475.67,22.21,283.45
TGT,Base Episode,10000000.0,9984240.4,1154.38,-0.16,369.0
TGT,DQN Episode Average,10000000.0,9964932.84,1455.4,-0.35,323.69
M,Base Episode,10000000.0,10017133.36,896.87,0.17,248.0
M,DQN Episode Average,10000000.0,9871696.82,1176.59,-1.28,213.88
NFLX,Base Episode,10000000.0,14532029.97,1035.63,45.32,441.0
NFLX,DQN Episode Average,10000000.0,14098771.12,1281.56,40.99,400.05
COKE,Base Episode,10000000.0,10211641.18,1171.98,2.12,367.0
COKE,DQN Episode Average,10000000.0,10217117.2,1532.15,2.17,317.42
CVX,Base Episode,10000000.0,10118803.04,1067.46,1.19,422.0
CVX,DQN Episode Average,10000000.0,10163114.62,1436.41,1.63,360.75
CVX,Base Episode,10000000.0,10118803.04,1067.46,1.19,422.0
CVX,DQN Episode Average,10000000.0,10162044.2,1428.29,1.62,362.14
GOOG,Base Episode,10000000.0,10322082.7,965.82,3.22,456.0
GOOG,DQN Episode Average,10000000.0,10342720.69,1244.97,3.43,402.68
AMZN,Base Episode,10000000.0,11063667.31,964.14,10.64,481.0
AMZN,DQN Episode Average,10000000.0,10537750.99,1278.27,5.38,412.06
MSFT,Base Episode,10000000.0,10236146.0,1031.92,2.36,436.0
MSFT,DQN Episode Average,10000000.0,10356828.89,1287.26,3.57,377.3
F,DQN Episode Average,10000000.0,12220967.77,1475.67,22.21,283.45
TGT,DQN Episode Average,10000000.0,9964932.84,1455.4,-0.35,323.69
M,DQN Episode Average,10000000.0,9871696.82,1176.59,-1.28,213.88
NFLX,DQN Episode Average,10000000.0,14098771.12,1281.56,40.99,400.05
COKE,DQN Episode Average,10000000.0,10217117.2,1532.15,2.17,317.42
CVX,DQN Episode Average,10000000.0,10163114.62,1436.41,1.63,360.75
CVX,DQN Episode Average,10000000.0,10162044.2,1428.29,1.62,362.14
GOOG,DQN Episode Average,10000000.0,10342720.69,1244.97,3.43,402.68
AMZN,DQN Episode Average,10000000.0,10537750.99,1278.27,5.38,412.06
