symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
TGT,20030228,20030304,15,16,28.65,28.8,26.5,26.69,long,1,3855,-8134.05,-7.326
TGT,20030317,20030519,16,15,29.4,29.8,33.2,33.3,long,1,3362,11767.0,11.745
TGT,20030320,20030519,16,15,29.93,30.1,33.2,33.3,long,1,3306,10579.2,10.631
TGT,20030321,20030519,15,15,30.73,29.78,33.2,33.3,long,1,3130,11017.6,11.82
TGT,20030404,20030519,17,15,30.94,31.65,33.2,33.3,long,1,3293,5433.45,5.213
TGT,20030407,20030519,17,15,31.78,31.78,33.2,33.3,long,1,3082,4684.64,4.783
TGT,20030421,20030519,16,15,32.46,32.46,33.2,33.3,long,1,2898,2434.32,2.588
TGT,20030422,20030519,17,15,33.01,33.01,33.2,33.3,long,1,2804,813.16,0.879
TGT,20030506,20030519,17,15,34.33,34.33,33.2,33.3,long,1,2789,-2872.67,-3.0
TGT,20030508,20030519,15,15,34.78,34.78,33.2,33.3,long,1,2780,-4114.4,-4.255
TGT,20030509,20030519,16,15,35.27,35.15,33.2,33.3,long,1,2761,-5107.85,-5.263
TGT,20030512,20030519,17,15,36.13,34.32,33.2,33.3,long,1,2606,-2658.12,-2.972
TGT,20030602,20030909,17,15,37.16,37.17,38.0,39.03,long,1,2513,4674.18,5.004
TGT,20030707,20030909,19,15,38.64,38.55,38.0,39.03,long,1,2853,1369.44,1.245
TGT,20030708,20030909,18,15,39.82,39.5,38.0,39.03,long,1,2673,-1256.31,-1.19
TGT,20030812,20030909,16,15,40.0,40.0,38.0,39.03,long,1,2646,-2566.62,-2.425
TGT,20030829,20030909,15,15,40.6,40.8,38.0,39.03,long,1,2679,-4741.83,-4.338
TGT,20030902,20030909,15,15,41.51,41.75,38.0,39.03,long,1,2586,-7033.92,-6.515
TGT,20030903,20030909,15,15,41.54,41.0,38.0,39.03,long,1,2612,-5145.64,-4.805
TGT,20031009,20031022,15,15,40.4,40.29,39.11,39.11,long,1,2558,-3018.44,-2.929
TGT,20031204,20031215,18,20,40.15,39.98,37.12,37.12,long,1,3061,-8754.46,-7.154
TGT,20040210,20040310,25,26,41.3,41.25,41.73,44.4,long,1,2689,8470.35,7.636
TGT,20040211,20040310,25,26,41.65,41.25,41.73,44.4,long,1,2638,8309.7,7.636
TGT,20040218,20040310,26,26,42.29,42.9,41.73,44.4,long,1,2655,3982.5,3.497
TGT,20040227,20040310,27,26,43.96,44.16,41.73,44.4,long,1,2331,559.44,0.543
TGT,20040311,20040414,27,35,44.7,44.8,42.86,43.05,long,1,2145,-3753.75,-3.906
TGT,20040312,20040414,28,35,45.63,45.51,42.86,43.05,long,1,2063,-5074.98,-5.405
TGT,20040602,20040628,32,35,45.38,45.0,44.04,42.75,long,1,2328,-5238.0,-5.0
TGT,20040608,20040628,33,35,46.2,45.95,44.04,42.75,long,1,2267,-7254.4,-6.964
TGT,20040827,20041217,35,35,44.94,44.9,50.53,50.92,long,1,2450,14749.0,13.408
TGT,20040902,20041217,35,35,45.73,45.77,50.53,50.92,long,1,2543,13096.45,11.252
TGT,20040903,20041217,35,35,45.93,46.0,50.53,50.92,long,1,2510,12349.2,10.696
TGT,20041007,20041217,35,35,47.13,47.14,50.53,50.92,long,1,2470,9336.6,8.019
TGT,20041019,20041217,35,35,48.46,48.45,50.53,50.92,long,1,2121,5238.87,5.098
TGT,20041027,20041217,35,35,49.45,49.37,50.53,50.92,long,1,2093,3244.15,3.14
