date,TICKER,PRC,RET,OPENPRC,NaN_Replaced,Open,High,Low,Close
20030102,AMZN,19.57,0.035998,19.19,0,19.19,19.6317571511,18.6882716135,19.57
20030103,AMZN,20.52,0.048544,19.59,0,19.59,20.52,19.4589922194,20.52
20030106,AMZN,20.7,0.008772,20.4,0,20.4,21.1151519872,20.4,20.7
20030107,AMZN,21.55,0.041063,20.83,0,20.83,21.7202055894,20.7057091806,21.55
20030108,AMZN,21.02,-0.024594,21.44,0,21.44,21.5591532135,20.8174872314,21.02
20030109,AMZN,21.45,0.020457,21.08,0,21.08,21.4977692773,21.0199144486,21.45
20030110,AMZN,21.32,-0.006061,20.96,0,20.96,21.5682807381,20.8755961973,21.32
20030113,AMZN,22.04,0.033771,21.33,0,21.33,22.0654030282,21.33,22.04
20030114,AMZN,22.74,0.03176,21.85,0,21.85,22.74,21.7080076157,22.74
20030115,AMZN,22.27,-0.020668,22.59,0,22.59,22.59,22.0181257711,22.27
20030116,AMZN,21.8,-0.021105,21.69,0,21.69,22.0584096885,21.4783726416,21.8
20030117,AMZN,21.4,-0.018349,21.46,0,21.46,21.6887194991,21.2596587623,21.4
20030121,AMZN,21.08,-0.014953,21.25,0,21.25,21.5486701163,20.4154609243,21.08
20030122,AMZN,21.17,0.004269,20.77,0,20.77,21.6642552458,20.77,21.17
20030123,AMZN,21.79,0.029287,21.54,0,21.54,21.995074331,21.1768998428,21.79
20030124,AMZN,22.11,0.014686,22.59,0,22.59,23.2450496123,21.9458181431,22.11
20030127,AMZN,21.78,-0.014925,21.68,0,21.68,22.2138895501,21.68,21.78
20030128,AMZN,21.62,-0.007346,21.91,0,21.91,21.91980851,21.3178663397,21.62
20030129,AMZN,22.08,0.021277,21.55,0,21.55,22.2575002237,21.4698836978,22.08
20030130,AMZN,21.82,-0.011775,22.2,0,22.2,22.3489919028,21.80863917,21.82
20030131,AMZN,21.85,0.001375,21.64,0,21.64,22.2465101448,21.64,21.85
20030203,AMZN,22.16,0.014188,21.94,0,21.94,22.4382377124,21.889439083,22.16
20030204,AMZN,22.05,-0.004964,21.94,0,21.94,22.05,21.6782892526,22.05
20030205,AMZN,22.17,0.005442,22.18,0,22.18,22.4861880425,22.1098893072,22.17
20030206,AMZN,22.09,-0.003608,22.16,0,22.16,22.4190201055,21.9460192389,22.09
20030207,AMZN,21.44,-0.029425,22.1,0,22.1,22.1,21.2763167539,21.44
20030210,AMZN,21.4,-0.001866,21.4,0,21.4,21.4,20.646446295,21.4
20030211,AMZN,20.78,-0.028972,21.56,0,21.56,21.56,20.7263216841,20.78
20030212,AMZN,21.13,0.016843,20.79,0,20.79,21.1875730042,20.7097393486,21.13
20030213,AMZN,20.06,-0.050639,20.95,0,20.95,20.95,19.6128170056,20.06
20030214,AMZN,20.06,0.0,19.99,0,19.99,20.1673143158,19.7454982277,20.06
20030218,AMZN,21.39,0.066301,20.15,0,20.15,21.39,20.15,21.39
20030219,AMZN,21.19,-0.00935,21.15,0,21.15,21.239623058,21.0486161107,21.19
20030220,AMZN,21.36,0.008023,21.19,0,21.19,21.4777680181,21.1086800722,21.36
20030221,AMZN,21.78,0.019663,21.35,0,21.35,21.8271984931,21.1695810555,21.78
20030224,AMZN,21.78,0.0,21.64,0,21.64,22.1681563532,21.64,21.78
