date,TICKER,PRC,RET,OPENPRC,NaN_Replaced,Open,High,Low,Close
20030102,COKE,65.19,0.010541,65.14,0,65.14,65.19,63.8964275675,65.19
20030103,COKE,68.56,0.051695,64.71,0,64.71,69.0885379005,64.71,68.56
20030106,COKE,69.8,0.018086,69.4,0,69.4,70.2946931427,68.9076477056,69.8
20030107,COKE,68.87,-0.013324,69.67,0,69.67,69.67,68.6443541622,68.87
20030108,COKE,70.0,0.016408,68.89,0,68.89,70.0,68.7899506195,70.0
20030109,COKE,69.7,-0.004286,69.9,0,69.9,70.3484311829,69.3355929675,69.7
20030110,COKE,69.18,-0.00746,69.39,0,69.39,69.7380158524,68.7671223519,69.18
20030113,COKE,69.05,-0.001879,69.54,0,69.54,69.54,69.0485292448,69.05
20030114,COKE,67.75,-0.018827,68.1,0,68.1,68.1,67.3466483814,67.75
20030115,COKE,69.08,0.019631,67.6,0,67.6,69.08,67.389299479,69.08
20030116,COKE,69.0,-0.001158,68.99,0,68.99,69.0,68.549597315,69.0
20030117,COKE,68.77,-0.003333,69.0,0,69.0,69.0,68.709015597,68.77
20030121,COKE,68.731,-0.000567,68.72,0,68.72,68.999277383,68.5797240959,68.731
20030122,COKE,69.0,0.003914,68.37,0,68.37,69.0,68.37,69.0
20030123,COKE,68.86,-0.002029,68.72,0,68.72,69.1989564235,68.72,68.86
20030124,COKE,68.771,-0.001292,68.52,0,68.52,69.1985193552,68.52,68.771
20030127,COKE,69.0,0.00333,68.77,0,68.77,69.0,68.6699272233,69.0
20030128,COKE,68.95,-0.000725,69.0,0,69.0,69.0,68.420449744,68.95
20030129,COKE,68.57,-0.005511,68.74,0,68.74,68.8768657638,68.1488588812,68.57
20030130,COKE,68.621,0.000744,68.15,0,68.15,68.7443547849,67.6979985961,68.621
20030131,COKE,68.19,-0.006281,68.51,0,68.51,68.7088517797,68.0891655035,68.19
20030203,COKE,67.52,-0.009826,67.6,0,67.6,68.0788777309,67.517632757,67.52
20030204,COKE,64.55,-0.043987,67.35,0,67.35,67.35,64.4894668125,64.55
20030205,COKE,61.61,-0.045546,65.02,0,65.02,65.02,61.4249485473,61.61
20030206,COKE,59.69,-0.031164,61.01,0,61.01,61.0299967226,58.0539270589,59.69
20030207,COKE,60.789,0.018412,59.05,0,59.05,60.9954224206,59.05,60.789
20030210,COKE,61.87,0.017783,59.81,0,59.81,61.87,59.81,61.87
20030211,COKE,63.57,0.027477,61.71,0,61.71,64.2313266873,61.71,63.57
20030212,COKE,64.37,0.016517,62.87,0,62.87,64.9693592846,62.7999610017,64.37
20030213,COKE,64.24,-0.00202,64.9,0,64.9,65.3190210904,63.6083775955,64.24
20030214,COKE,64.569,0.005121,64.21,0,64.21,65.1964555665,63.9540123279,64.569
20030218,COKE,65.959,0.021527,64.95,0,64.95,66.4464814377,64.95,65.959
20030219,COKE,64.85,-0.016813,65.0,0,65.0,65.9726857338,64.5933384869,64.85
20030220,COKE,64.7,-0.002313,65.2,0,65.2,65.2,64.3956396941,64.7
20030221,COKE,65.001,0.004652,64.43,0,64.43,65.1982933109,64.43,65.001
20030224,COKE,63.3,-0.026169,64.78,0,64.78,64.78,63.2463677749,63.3
20030225,COKE,64.55,0.019747,63.02,0,63.02,64.55,63.02,64.55
20030226,COKE,63.291,-0.019504,64.2,0,64.2,64.7488161125,63.2767118136,63.291
20030227,COKE,61.448,-0.029119,63.61,0,63.61,66.0857897111,61.379272532,61.448
20030228,COKE,59.41,-0.033166,60.77,0,60.77,61.7215117776,58.7861491578,59.41
20030303,COKE,59.07,-0.005723,58.99,0,58.99,59.7008480366,57.7301697376,59.07
20030304,COKE,58.87,-0.003386,58.2,0,58.2,59.3567646243,58.2,58.87
20030305,COKE,56.46,-0.040938,58.4,0,58.4,58.4,55.9589382132,56.46
