date,TICKER,PRC,RET,OPENPRC,NaN_Replaced,Open,High,Low,Close
20030102,CVX,33.91,0.020156,33.6,0,33.6,33.9181814686,33.3997816699,33.91
20030103,CVX,34.17,0.007667,33.91,0,33.91,34.17,33.8444182763,34.17
20030106,CVX,34.95,0.022827,34.17,0,34.17,35.1253576567,34.17,34.95
20030107,CVX,34.225,-0.020744,34.875,0,34.875,34.88,34.0079936313,34.225
20030108,CVX,34.025,-0.005844,34.23,0,34.23,34.2481306556,33.8024745326,34.025
20030109,CVX,34.56,0.015724,34.075,0,34.075,34.5985770337,34.0649893633,34.56
20030110,CVX,34.305,-0.007379,34.25,0,34.25,34.4246757186,34.0539304192,34.305
20030113,CVX,34.09,-0.006267,34.39,0,34.39,34.39,33.898313485,34.09
20030114,CVX,34.25,0.004693,34.115,0,34.115,34.2632604441,33.8391177649,34.25
20030115,CVX,34.075,-0.005109,34.34,0,34.34,34.3499985443,33.977874567,34.075
20030116,CVX,34.16,0.002494,34.325,0,34.325,34.4889124417,34.16,34.16
20030117,CVX,34.055,-0.003074,34.16,0,34.16,34.3347745661,33.9336124708,34.055
20030121,CVX,33.425,-0.0185,34.06,0,34.06,34.06,33.4209235495,33.425
20030122,CVX,32.85,-0.017203,33.2,0,33.2,33.254954493,32.8472243761,32.85
20030123,CVX,32.485,-0.011111,32.725,0,32.725,32.73,32.3488904357,32.485
20030124,CVX,31.77,-0.02201,32.415,0,32.415,32.4198864738,31.6628910884,31.77
20030127,CVX,30.925,-0.026597,31.725,0,31.725,31.725,30.6705669595,30.925
20030128,CVX,31.475,0.017785,31.11,0,31.11,31.6730407197,31.0974974881,31.475
20030129,CVX,32.65,0.037331,31.985,0,31.985,32.8417013151,31.8448782682,32.65
20030130,CVX,32.1,-0.016845,32.74,0,32.74,32.8099504039,31.8477243099,32.1
20030131,CVX,32.2,0.003115,31.125,0,31.125,32.2950334865,31.125,32.2
20030203,CVX,32.825,0.01941,32.205,0,32.205,32.8313638223,32.205,32.825
20030204,CVX,32.735,-0.002742,32.4,0,32.4,32.9221264092,32.1292757341,32.735
20030205,CVX,32.535,-0.00611,32.9,0,32.9,32.9449008483,32.3329652076,32.535
20030206,CVX,32.325,-0.006455,32.535,0,32.535,32.535,31.8080261769,32.325
20030207,CVX,31.86,-0.014385,32.3,0,32.3,32.4347186629,31.6573204624,31.86
20030210,CVX,32.47,0.019146,31.925,0,31.925,32.4723318591,31.925,32.47
20030211,CVX,32.265,-0.006314,32.55,0,32.55,32.8340543445,32.0578462857,32.265
20030212,CVX,31.54,-0.011622,31.915,0,31.915,31.9949206037,31.4879547395,31.54
20030213,CVX,31.5,-0.001268,31.45,0,31.45,31.6717476927,31.1330114007,31.5
20030214,CVX,31.865,0.011587,31.525,0,31.525,31.9340607022,31.4021117234,31.865
20030218,CVX,32.0,0.004237,32.16,0,32.16,32.3643890784,31.9286304975,32.0
20030219,CVX,32.205,0.006406,32.005,0,32.005,32.2589111624,32.005,32.205
20030220,CVX,31.75,-0.014128,32.5,0,32.5,32.5049903811,31.7483796844,31.75
20030221,CVX,32.025,0.008661,32.05,0,32.05,32.3918079628,31.7984959033,32.025
20030224,CVX,32.205,0.005621,32.085,0,32.085,32.2931897716,31.9898282314,32.205
20030225,CVX,32.095,-0.003416,32.21,0,32.21,32.438568432,31.8558852724,32.095
20030226,CVX,32.04,-0.001714,31.96,0,31.96,32.3076725524,31.9190400241,32.04
20030227,CVX,32.08,0.001248,32.37,0,32.37,32.37,31.926872569,32.08
20030228,CVX,32.085,0.000156,32.08,0,32.08,32.314435439,32.0734396393,32.085
20030303,CVX,32.27,0.005766,32.265,0,32.265,32.4896686487,32.2092763696,32.27
20030304,CVX,32.325,0.001704,32.35,0,32.35,32.4592097324,32.2547566387,32.325
20030305,CVX,32.975,0.020108,32.4,0,32.4,32.975,32.319669144,32.975
20030306,CVX,32.69,-0.008643,32.98,0,32.98,32.98,32.5127926358,32.69
20030307,CVX,32.63,-0.001835,32.4,0,32.4,32.8478064747,32.2101398507,32.63
20030310,CVX,31.95,-0.02084,32.6,0,32.6,32.6635622811,31.8972644092,31.95
20030311,CVX,31.87,-0.002504,32.275,0,32.275,32.2897363164,31.7775689602,31.87
20030312,CVX,31.525,-0.010825,31.87,0,31.87,31.87,30.884046591,31.525
20030313,CVX,31.83,0.009675,32.075,0,32.075,32.075,31.6841772292,31.83
20030314,CVX,32.095,0.008326,31.91,0,31.91,32.1214722155,31.6386127386,32.095
20030317,CVX,32.355,0.008101,31.8,0,31.8,32.5451077284,31.8,32.355
20030318,CVX,32.815,0.014217,32.355,0,32.355,32.8914036286,32.0789350389,32.815
20030319,CVX,32.915,0.003047,32.85,0,32.85,32.9993342487,32.7137781848,32.915
20030320,CVX,32.9,-0.000456,32.915,0,32.915,33.0723272937,32.6990901713,32.9
20030321,CVX,33.0,0.003039,33.325,0,33.325,33.325,32.857274544,33.0
20030324,CVX,32.49,-0.015454,32.775,0,32.775,32.9347968419,32.3693340963,32.49
20030325,CVX,33.01,0.016005,32.615,0,32.615,33.1134488783,32.5796242272,33.01
20030326,CVX,32.9,-0.003332,33.125,0,33.125,33.1549430372,32.8392739461,32.9
20030327,CVX,32.6,-0.009119,32.6,0,32.6,32.9126622056,32.4239532256,32.6
20030328,CVX,32.625,0.000767,32.5,0,32.5,32.8291333081,32.5,32.625
20030331,CVX,32.325,-0.009195,32.4,0,32.4,32.5885552142,32.169511568,32.325
20030401,CVX,32.745,0.012993,32.405,0,32.405,32.8179171041,32.405,32.745
20030402,CVX,32.54,-0.00626,32.93,0,32.93,32.93,32.4654607466,32.54
20030403,CVX,32.2,-0.010449,32.375,0,32.375,32.5747323417,32.1183454469,32.2
20030404,CVX,32.47,0.008385,32.375,0,32.375,32.4730352056,32.1593938942,32.47
20030407,CVX,32.2,-0.008315,32.875,0,32.875,32.875,32.2,32.2
20030408,CVX,32.1,-0.003106,32.05,0,32.05,32.2482907553,31.953576643,32.1
20030409,CVX,32.1,0.0,32.325,0,32.325,32.5795134353,32.0029819294,32.1
20030410,CVX,32.04,-0.001869,32.075,0,32.075,32.08,31.8192253946,32.04
20030411,CVX,31.78,-0.008115,31.98,0,31.98,32.0597759711,31.6389113595,31.78
20030414,CVX,31.96,0.005664,31.785,0,31.785,32.1942152619,31.7645979578,31.96
20030415,CVX,32.015,0.001721,31.925,0,31.925,32.0537457847,31.6795150538,32.015
20030416,CVX,31.75,-0.008277,32.2,0,32.2,32.2,31.6557395371,31.75
20030417,CVX,32.025,0.008661,31.725,0,31.725,32.0392038203,31.725,32.025
20030421,CVX,32.34,0.009836,32.215,0,32.215,32.3428618562,32.0036616888,32.34
20030422,CVX,32.58,0.007421,32.34,0,32.34,32.6528392304,32.0589791611,32.58
20030423,CVX,32.44,-0.004297,32.45,0,32.45,32.4949842151,31.984152651,32.44
20030424,CVX,32.04,-0.01233,32.075,0,32.075,32.3547378928,32.0285801394,32.04
20030425,CVX,31.7,-0.010612,31.85,0,31.85,31.8724920563,31.2892005694,31.7
20030428,CVX,31.9,0.006309,31.715,0,31.715,32.2041841701,31.715,31.9
20030429,CVX,31.6,-0.009404,31.63,0,31.63,31.8495938206,31.4987651286,31.6
20030430,CVX,31.405,-0.006171,31.5,0,31.5,31.6398795311,31.3144623209,31.405
20030501,CVX,31.5,0.003025,31.575,0,31.575,31.6887117788,31.1244062879,31.5
20030502,CVX,32.675,0.037302,31.95,0,31.95,32.7983761921,31.9498680307,32.675
