date,TICKER,PRC,RET,OPENPRC,NaN_Replaced,Open,High,Low,Close
20030102,MSFT,26.86,0.039072,26.15,0,26.15,26.86,25.8946269499,26.86
20030103,MSFT,26.895,0.001303,26.795,0,26.795,26.8970048194,26.4535404742,26.895
20030106,MSFT,27.385,0.018219,27.01,0,27.01,27.589603523,27.01,27.385
20030107,MSFT,27.9,0.018806,27.46,0,27.46,27.9759590179,27.3946537817,27.9
20030108,MSFT,27.12,-0.027957,27.685,0,27.685,27.7246377203,27.0969574878,27.12
20030109,MSFT,27.905,0.028945,27.36,0,27.36,27.9282048468,27.3397425025,27.905
20030110,MSFT,27.96,0.001971,27.55,0,27.55,28.0719676781,27.55,27.96
20030113,MSFT,28.195,0.008405,28.2625,0,28.2625,28.3373870896,27.9213685141,28.195
20030114,MSFT,28.485,0.010286,28.13,0,28.13,28.485,28.1244697176,28.485
20030115,MSFT,28.135,-0.012287,28.5,0,28.5,28.5299842216,28.1035773587,28.135
20030116,MSFT,27.675,-0.01635,28.16,0,28.16,28.2692029612,27.5981124863,27.675
20030117,MSFT,25.73,-0.07028,26.47,0,26.47,26.47,25.7278006274,25.73
20030121,MSFT,25.665,-0.002526,25.935,0,25.935,26.0223983218,25.6576582936,25.665
20030122,MSFT,25.5,-0.006429,25.795,0,25.795,26.1672822665,25.5,25.5
20030123,MSFT,26.14,0.025098,25.975,0,25.975,26.2320260167,25.788541798,26.14
20030124,MSFT,24.925,-0.04648,26.015,0,26.015,26.015,24.87032633,24.925
20030127,MSFT,24.585,-0.013641,24.66,0,24.66,25.1209869066,24.2367309722,24.585
20030128,MSFT,24.41,-0.007118,24.845,0,24.845,24.845,24.295080596,24.41
20030129,MSFT,24.955,0.022327,24.365,0,24.365,24.9608436091,24.0138508212,24.955
20030130,MSFT,24.12,-0.03346,25.08,0,25.08,25.08,24.1131598633,24.12
20030131,MSFT,23.73,-0.016169,23.725,0,23.725,24.0990816935,23.5814458491,23.73
20030203,MSFT,24.28,0.023177,23.965,0,23.965,24.5271011671,23.7647666771,24.28
20030204,MSFT,23.66,-0.025535,23.9,0,23.9,23.9448849739,23.4577526182,23.66
20030205,MSFT,23.48,-0.007608,23.915,0,23.915,24.215284699,23.3581141845,23.48
20030206,MSFT,23.71,0.009796,23.43,0,23.43,23.7430556627,23.3542719641,23.71
20030207,MSFT,23.29,-0.017714,23.94,0,23.94,23.94,23.2472954966,23.29
20030210,MSFT,23.69,0.017175,23.4,0,23.4,23.7324081927,23.3045133803,23.69
20030211,MSFT,23.22,-0.01984,23.65,0,23.65,23.7964255404,23.0322988315,23.22
20030212,MSFT,23.22,0.0,23.275,0,23.275,23.4589314905,23.1633415037,23.22
20030213,MSFT,23.495,0.011843,23.205,0,23.205,23.5303762768,23.078118955,23.495
20030214,MSFT,24.15,0.027878,23.625,0,23.625,24.15,23.4100280231,24.15
20030218,MSFT,24.96,0.03354,24.62,0,24.62,24.96,24.527104998,24.96
20030219,MSFT,24.53,-0.014022,24.82,0,24.82,24.82,24.1978265836,24.53
20030220,MSFT,24.15,-0.015491,24.77,0,24.77,24.77,24.1276191662,24.15
20030221,MSFT,24.61,0.019048,24.29,0,24.29,24.7847256401,23.8383673692,24.61
20030224,MSFT,24.07,-0.021942,24.44,0,24.44,24.4591520339,23.9068943033,24.07
20030225,MSFT,24.19,0.004985,23.54,0,23.54,24.2330151796,23.428410008,24.19
20030226,MSFT,23.6,-0.02439,24.079,0,24.079,24.4395032109,23.5952072889,23.6
20030227,MSFT,23.58,-0.000847,23.9,0,23.9,24.1372387782,23.3296136628,23.58
20030228,MSFT,23.7,0.005089,23.74,0,23.74,24.0275091354,23.5859097035,23.7
20030303,MSFT,23.54,-0.006751,24.02,0,24.02,24.1098318105,23.4577179916,23.54
20030304,MSFT,23.07,-0.019966,23.58,0,23.58,23.58,23.0674434149,23.07
20030305,MSFT,23.44,0.016038,23.07,0,23.07,23.4848875106,23.07,23.44
20030306,MSFT,23.27,-0.007253,23.17,0,23.17,23.4582611719,23.1499913632,23.27
20030307,MSFT,23.56,0.012462,22.95,0,22.95,23.7338304134,22.95,23.56
20030310,MSFT,22.95,-0.025891,23.31,0,23.31,23.4497516116,22.948350464,22.95
20030311,MSFT,22.79,-0.006972,23.06,0,23.06,23.1993172189,22.787581025,22.79
20030312,MSFT,23.39,0.026327,22.818,0,22.818,23.39,22.5997542071,23.39
20030313,MSFT,24.67,0.054724,23.72,0,23.72,24.67,23.4639183523,24.67
20030314,MSFT,24.86,0.007702,24.68,0,24.68,24.9174755419,24.3293350724,24.86
20030317,MSFT,25.93,0.043041,24.52,0,24.52,25.93,24.3795987984,25.93
20030318,MSFT,26.04,0.004242,25.89,0,25.89,26.04,25.5386340454,26.04
20030319,MSFT,26.32,0.010753,25.98,0,25.98,26.3857597913,25.7679527759,26.32
20030320,MSFT,26.25,-0.00266,26.02,0,26.02,26.4811530203,25.7188075567,26.25
20030321,MSFT,26.57,0.01219,26.75,0,26.75,26.75,26.0782539936,26.57
20030324,MSFT,25.29,-0.048175,25.55,0,25.55,25.8492777898,25.2278023085,25.29
